"id","data_inversa","br","municipio","tipo_acidente"
"260771","1/4/2020","40","CONTAGEM","Colisão transversal"
"260774","1/4/2020","40","SANTOS DUMONT","Tombamento"
"260778","1/4/2020","40","CARANDAI","Colisão traseira"
"260782","1/4/2020","365","PIRAPORA","Colisão com objeto estático"
"260790","1/4/2020","116","MURIAE","Colisão frontal"
"260797","1/4/2020","365","MONTES CLAROS","Colisão traseira"
"260798","1/4/2020","381","EXTREMA","Saída de leito carroçável"
"260802","1/4/2020","262","BETIM","Saída de leito carroçável"
"260817","1/4/2020","251","GRAO MOGOL","Colisão traseira"
"260829","1/4/2020","381","PERDOES","Saída de leito carroçável"
"260830","1/4/2020","381","ITAPEVA","Colisão com objeto estático"
"260833","1/4/2020","40","OLIVEIRA FORTES","Colisão com objeto estático"
"260835","1/4/2020","354","CAXAMBU","Tombamento"
"260840","1/4/2020","40","OLIVEIRA FORTES","Saída de leito carroçável"
"260855","1/4/2020","381","SANTO ANTONIO DO AMPARO","Capotamento"
"260864","1/4/2020","40","PARACATU","Saída de leito carroçável"
"260878","1/4/2020","116","UBAPORANGA","Colisão traseira"
"260889","1/4/2020","116","FERVEDOURO","Colisão transversal"
"260911","1/5/2020","381","SAO JOAQUIM DE BICAS","Colisão com objeto estático"
"260913","1/4/2020","381","CARMO DA CACHOEIRA","Colisão traseira"
"260927","1/5/2020","251","MONTES CLAROS","Colisão com objeto estático"
"260929","1/5/2020","50","ARAGUARI","Saída de leito carroçável"
"260931","1/5/2020","50","UBERLANDIA","Colisão lateral"
"260949","1/5/2020","381","CAMPANHA","Saída de leito carroçável"
"260955","1/5/2020","251","FRUTA DE LEITE","Colisão frontal"
"260961","1/5/2020","40","CURVELO","Saída de leito carroçável"
"260966","1/5/2020","251","FRANCISCO SA","Colisão frontal"
"260967","1/5/2020","251","FRANCISCO SA","Colisão com objeto estático"
"260970","1/5/2020","381","BETIM","Tombamento"
"260986","1/5/2020","153","PRATA","Queda de ocupante de veículo"
"260991","1/5/2020","381","CAMBUI","Colisão traseira"
"260993","1/5/2020","381","LAVRAS","Saída de leito carroçável"
"261009","1/5/2020","262","ARAXA","Saída de leito carroçável"
"261012","1/5/2020","50","UBERABA","Tombamento"
"261013","1/5/2020","40","JUIZ DE FORA","Colisão frontal"
"261019","1/5/2020","381","CAMBUI","Colisão traseira"
"261020","1/5/2020","381","CARMO DA CACHOEIRA","Capotamento"
"261053","1/5/2020","365","BURITIZEIRO","Capotamento"
"261058","1/5/2020","365","BURITIZEIRO","Saída de leito carroçável"
"261065","1/5/2020","381","RIO MANSO","Tombamento"
"261071","1/5/2020","116","FREI INOCENCIO","Colisão frontal"
"261082","1/5/2020","251","MONTES CLAROS","Colisão com objeto estático"
"261105","1/5/2020","381","SABARA","Colisão transversal"
"261113","1/6/2020","381","LAVRAS","Saída de leito carroçável"
"261124","1/5/2020","381","CAMBUI","Colisão com objeto estático"
"261126","1/6/2020","153","PRATA","Saída de leito carroçável"
"261130","1/6/2020","381","BETIM","Tombamento"
"261132","1/6/2020","50","UBERABA","Tombamento"
"261140","1/6/2020","381","SAO SEBASTIAO DA BELA VISTA","Colisão com objeto estático"
"261148","1/6/2020","381","ITATIAIUCU","Saída de leito carroçável"
"261170","1/6/2020","251","MONTES CLAROS","Engavetamento"
"261171","1/6/2020","381","NOVA ERA","Saída de leito carroçável"
"261174","1/6/2020","262","SAO DOMINGOS DO PRATA","Colisão transversal"
"261175","1/6/2020","381","OLIVEIRA","Saída de leito carroçável"
"261191","1/6/2020","459","POUSO ALEGRE","Colisão traseira"
"261192","1/6/2020","381","SAO SEBASTIAO DA BELA VISTA","Saída de leito carroçável"
"261195","1/6/2020","381","POUSO ALEGRE","Atropelamento de Pedestre"
"261197","1/6/2020","40","CURVELO","Colisão frontal"
"261211","1/6/2020","153","PRATA","Saída de leito carroçável"
"261216","1/6/2020","146","POCOS DE CALDAS","Colisão transversal"
"261224","1/6/2020","365","ARAGUARI","Colisão traseira"
"261227","1/6/2020","40","SANTOS DUMONT","Saída de leito carroçável"
"261245","1/6/2020","262","CAMPOS ALTOS","Saída de leito carroçável"
"261289","1/7/2020","40","PARAOPEBA","Colisão lateral"
"261299","1/7/2020","262","BETIM","Colisão traseira"
"261309","1/7/2020","381","ESTIVA","Colisão com objeto estático"
"261311","1/7/2020","40","ESMERALDAS","Tombamento"
"261312","1/7/2020","40","RIBEIRAO DAS NEVES","Colisão traseira"
"261313","1/7/2020","381","SAO GONCALO DO RIO ABAIXO","Colisão lateral"
"261330","1/7/2020","40","SAO GONCALO DO ABAETE","Saída de leito carroçável"
"261337","1/7/2020","40","RIBEIRAO DAS NEVES","Colisão traseira"
"261339","1/7/2020","116","ITAOBIM","Colisão frontal"
"261358","1/7/2020","116","MURIAE","Saída de leito carroçável"
"261364","1/7/2020","381","LAVRAS","Saída de leito carroçável"
"261366","1/7/2020","381","SABARA","Colisão traseira"
"261370","1/7/2020","381","SABARA","Saída de leito carroçável"
"261376","1/7/2020","262","MOEMA","Colisão transversal"
"261390","1/7/2020","262","MANHUACU","Colisão transversal"
"261411","1/7/2020","262","LUZ","Colisão frontal"
"261416","1/7/2020","365","JEQUITAI","Colisão com objeto estático"
"261427","1/8/2020","381","POUSO ALEGRE","Colisão traseira"
"261441","1/7/2020","40","ITABIRITO","Colisão frontal"
"261442","1/8/2020","40","NOVA LIMA","Capotamento"
"261445","1/8/2020","381","OLIVEIRA","Colisão traseira"
"261472","1/8/2020","116","CACHOEIRA DE PAJEU","Atropelamento de Pedestre"
"261479","1/8/2020","381","BETIM","Queda de ocupante de veículo"
"261515","1/8/2020","40","NOVA LIMA","Saída de leito carroçável"
"261516","1/8/2020","262","CAMPOS ALTOS","Saída de leito carroçável"
"261532","1/8/2020","40","CONTAGEM","Colisão lateral"
"261535","1/8/2020","251","FRANCISCO SA","Saída de leito carroçável"
"261546","1/8/2020","381","CARMO DA CACHOEIRA","Capotamento"
"261549","1/8/2020","40","CONGONHAS","Colisão com objeto estático"
"261574","1/8/2020","40","SETE LAGOAS","Saída de leito carroçável"
"261578","1/8/2020","262","CORREGO DANTA","Colisão transversal"
"261579","1/8/2020","354","ITAMONTE","Colisão transversal"
"261580","1/8/2020","381","BETIM","Colisão lateral"
"261581","1/8/2020","116","AGUAS VERMELHAS","Colisão frontal"
"261589","1/8/2020","116","ITAOBIM","Tombamento"
"261611","1/8/2020","116","ITAOBIM","Colisão traseira"
"261614","1/9/2020","40","SETE LAGOAS","Colisão traseira"
"261615","1/9/2020","40","PARAOPEBA","Derramamento de carga"
"261624","1/9/2020","262","BETIM","Saída de leito carroçável"
"261628","1/9/2020","40","SETE LAGOAS","Colisão traseira"
"261642","1/9/2020","381","EXTREMA","Tombamento"
"261649","1/9/2020","381","NOVA UNIAO","Colisão lateral"
"261695","1/9/2020","381","BETIM","Tombamento"
"261700","1/9/2020","381","OLIVEIRA","Saída de leito carroçável"
"261707","1/9/2020","40","PARACATU","Saída de leito carroçável"
"261711","1/9/2020","40","CONTAGEM","Colisão com objeto estático"
"261715","1/9/2020","381","BETIM","Colisão traseira"
"261744","1/9/2020","116","MURIAE","Colisão frontal"
"261745","1/9/2020","40","SETE LAGOAS","Saída de leito carroçável"
"261751","1/9/2020","381","TRES CORACOES","Capotamento"
"261752","1/9/2020","267","GUARARA","Saída de leito carroçável"
"261753","1/9/2020","40","CONTAGEM","Colisão lateral"
"261756","1/9/2020","381","ITATIAIUCU","Saída de leito carroçável"
"261758","1/9/2020","381","ITATIAIUCU","Saída de leito carroçável"
"261759","1/9/2020","251","FRANCISCO SA","Colisão lateral"
"261764","1/9/2020","153","FRUTAL","Colisão com objeto estático"
"261775","1/9/2020","381","ANTONIO DIAS","Colisão com objeto estático"
"261776","1/9/2020","116","TEOFILO OTONI","Tombamento"
"261777","1/9/2020","381","TRES CORACOES","Colisão lateral"
"261780","1/9/2020","40","RIBEIRAO DAS NEVES","Saída de leito carroçável"
"261798","1/9/2020","381","OLIVEIRA","Colisão com objeto estático"
"261808","1/10/2020","262","SAO DOMINGOS DO PRATA","Tombamento"
"261837","1/10/2020","354","CAXAMBU","Tombamento"
"261846","1/10/2020","381","CAMANDUCAIA","Capotamento"
"261860","1/10/2020","40","RIBEIRAO DAS NEVES","Tombamento"
"261879","1/10/2020","40","RIBEIRAO DAS NEVES","Colisão traseira"
